"NPTF";"NAV_DATE";"TOTGRP";"GROUPE";"CMON_REF";"CTRI";"LIBELLE";"TRI";"LOCAL_CCY";"NAV_USD";"NAV_LOCAL_CCY";"MNT_REMB2_DEAL";"MNT_REMB";"MNT_REMB2";"MNT_CAP";"MNT_CAP_PTF";"TAUX";"MNT_INT_CR";"MNT_INT_CR_PTF";"MNT_TAXE_REC_CR";"MNT_TAXE_NREC_CR";"MNT_INT_AN";"MNT_TAXE_REC_AN";"MNT_TAXE_NREC_AN";"GAIN_PERTE";"GAIN_PERTE_TCHG";"GAIN_PERTE_KURS";"MNT_REALIS";"MNT_REALIS_TCHG";"MNT_REALIS_KURS";"NRUBR";"CGTI";"CODE_SECT";"CODE_PAYS";"LIBELLE1";"DATECH";"CODE_REMB";"PER_REMB";"DLASTCOUP";"DPROCCOUP";"CODE_REMB2";"PER_REMB2";"TREVENU";"CSERV";"NCONTRAT";"DVAL";"NOVAL";"NCORRESP";"NSUFF";"QUANTITE";"CUSANCE";"COURS";"NB_JOURS_REST";"NB_JOURS_INT";"COURS_REVIENT";"CMON2";"MNT_ACT_CMON2_PTF";"MNT_ACT_CMON2";"MNT_ACT_DEAL";"MNT_CAP_DEAL";"NPTF_DETAIL";"RENDEMENT_POND";"RENDEMENT";"PCT_TAXE_REC";"PCT_TAXE_NREC";"NRUBR_CORR";"LIBELLE2";"MNT_INT_CR_DEAL";"CSTATUS";"NB_JOURS_REND";"TCHG_HISTORIQUE";"CINT_AJUSTEMENT";"CAT_EMET";"TYP_RATING";"CRATING";"CMON_LIM";"MNT_ACT_GROUP";"MNT_INT_CR_GROUP";"NISSUER_GUARANTEED";"TYP_RATING_L";"CRATING_L";"COURS_BID";"COURS_OFFER";"MNT_ACT_DEAL_BID";"MNT_ACT_DEAL_OFFER";"MNT_ACT_BID";"MNT_ACT_OFFER";"NESTI";"NB_JOURS_COUP";"FMULTI";"TAUX2";"MNT_IC_TCHG_PTF";"MNT_IC_NEG_TCHG_PTF";"TYPE_COURSVAL";"DATE_COURS";"NS_PORTFOLIO";"NB_STALE_PRICE";"MNT_AMORTISSEMENT";"MNT_ACT_CMON3";"MNT_ACT_CMON3_PTF";"NEXT";"MNT_IP_PTF";"NO_SEQ";"SEC_INCOME_PTF";"SEC_YIELD";"SEC_MNT_ACT";"SEC_MNT_ACT_DEAL";"SEC_INCOME";"CODE_OID";"INC_YIELD";"CTYPE_INC_YIELD";"CTYPE_RED_YIELD";"AMORT_PRICE";"MNT_AMORTISSEMENT_DEAL";"COURS_TRUE";"COPER_VAL";"DELTA_2";"DOPER_POT";"NEXT_CPT";"CMON_CPT";"IMPORTATION_DATE";"IMPORTED BY"
"9092";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;1743788.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;4000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9097";30-9-2018 00:00:00;;;;;;;;6979579.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9096";30-9-2018 00:00:00;;;;;;;;5000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9094";30-9-2018 00:00:00;;;;;;;;750000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;875000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;3497103.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;350000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84134.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;10486263.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;993014.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9095";30-9-2018 00:00:00;;;;;;;;904729.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;5000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;5000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9095";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;2199736.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;250000.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84134.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;3926098.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;6500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;552000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;10192418.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;600000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84134.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9091";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9091";30-9-2018 00:00:00;;;;;;;;2784026.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9091";30-9-2018 00:00:00;;;;;;;;1000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9091";30-9-2018 00:00:00;;;;;;;;2327008.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;10500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;-3000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;-3000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;-2750000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;-2500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;-2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;-3000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;1710150.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;4716553.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;333333.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;8000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;2500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;2901716.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;5000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;3881252.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;7000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;1150000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84134.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;1500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84134.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;1063000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;825000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84134.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9097";30-9-2018 00:00:00;;;;;;;;5000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9091";30-9-2018 00:00:00;;;;;;;;2345869.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9091";30-9-2018 00:00:00;;;;;;;;1238500.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;1325432.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9095";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9095";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9095";30-9-2018 00:00:00;;;;;;;;375000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84134.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9097";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;250000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;4923486.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9094";30-9-2018 00:00:00;;;;;;;;500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9092";30-9-2018 00:00:00;;;;;;;;255908.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83925.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;2750000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;1500000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;2000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9093";30-9-2018 00:00:00;;;;;;;;3000000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
